taxon,date
hDenV1_Colombia_un-OUCRU-101_2013_EPI_ISL_17410860_2013,2013.5000
hDenV1_Colombia_un-OUCRU-341_2013_EPI_ISL_17610681_2013,2013.5000
hDenV1_Colombia_un-OUCRU-102_2013_EPI_ISL_17410861_2013,2013.5000
hDenV1_Colombia_un-OUCRU-340_2013_EPI_ISL_17610680_2013,2013.5000
hDenV1_Colombia_un-OUCRU-101234_2013_EPI_ISL_17410897_2013,2013.5000
hDenV1_Colombia_un-OUCRU-348_2013_EPI_ISL_17610654_2013,2013.5000
hDenV1_Colombia_un-OUCRU-10123_2012_EPI_ISL_17410867_2012,2012.5000
hDenV1_Colombia_un-OUCRU-520_2012_EPI_ISL_17610603_2012,2012.5000
hDenV1_Colombia_un-OUCRU-10125_2013_EPI_ISL_17410869_2013,2013.5000
hDenV1_Colombia_un-OUCRU-10126_2013_EPI_ISL_17410870_2013,2013.5000
hDenV1_Colombia_un-OUCRU-101210_2013_EPI_ISL_17410873_2013,2013.5000
hDenV1_Colombia_un-OUCRU-101226_2012_EPI_ISL_17410889_2012,2012.5000
hDenV1_Colombia_un-OUCRU-101228_2013_EPI_ISL_17410891_2013,2013.5000
hDenV1_Colombia_un-OUCRU-523_2013_EPI_ISL_17610594_2013,2013.5000
hDenV1_Colombia_un-OUCRU-519_2013_EPI_ISL_17610604_2013,2013.5000
hDenV1_Colombia_un-OUCRU-506_2013_EPI_ISL_17610719_2013,2013.5000
hDenV1_Colombia_un-OUCRU-507_2012_EPI_ISL_17610730_2012,2012.5000
hDenV1_Colombia_un-OUCRU-521_2013_EPI_ISL_17610601_2013,2013.5000
hDenV1_Colombia_un-OUCRU-101220_2013_EPI_ISL_17410883_2013,2013.5000
hDenV1_Colombia_un-OUCRU-342_2013_EPI_ISL_17610682_2013,2013.5000
hDenV1_Colombia_un-OUCRU-101218_2013_EPI_ISL_17410881_2013,2013.5000
hDenV1_Colombia_un-OUCRU-522_2013_EPI_ISL_17610614_2013,2013.5000
hDenV1_Colombia_un-OUCRU-101223_2013_EPI_ISL_17410886_2013,2013.5000
hDenV1_Colombia_un-OUCRU-333_2013_EPI_ISL_17610689_2013,2013.5000
hDenV1_Colombia_un-OUCRU-101225_2013_EPI_ISL_17410888_2013,2013.5000
hDenV1_Colombia_un-OUCRU-526_2013_EPI_ISL_17610721_2013,2013.5000
hDenV1_Colombia_un-OUCRU-0000087_2013_EPI_ISL_17439403_2013,2013.5000
hDenV1_Colombia_un-OUCRU-0000060_2013_EPI_ISL_17439442_2013,2013.5000
hDenV1_Colombia_un-OUCRU-0000010_2013_EPI_ISL_17439261_2013,2013.5000
hDenV1_Colombia_un-OUCRU-0000005_2013_EPI_ISL_17439266_2013,2013.5000
hDenV1_Colombia_un-OUCRU-0000023_2013_EPI_ISL_17439316_2013,2013.5000
hDenV1_Colombia_un-OUCRU-0000014_2012_EPI_ISL_17439281_2012,2012.5000
hDenV1_Colombia_un-OUCRU-101227_2013_EPI_ISL_17410890_2013,2013.5000
hDenV1_Colombia_un-OUCRU-510_2013_EPI_ISL_17610671_2013,2013.5000
hDenV1_Colombia_SAN-UIS-0000054_2016_EPI_ISL_17434696_2016,2016.5000
DenV1_mosquito_Colombia_MAG-CIST-0151_2018_EPI_ISL_20388639_2018-11-01,2018.8329
hDenV1_Colombia_SAN-UIS-0000019_2016_EPI_ISL_17434730_2016,2016.5000
hDenV1_Colombia_CUN-INS-450339_2015_EPI_ISL_17783302_2015-10-09,2015.7699
hDenV1_Colombia_un-FUAA-DFC088_2021_EPI_ISL_20061736_2021-08-28,2021.6548
hDenV1_Colombia_RIS-FUAA-AFI224_2022_EPI_ISL_20061737_2022-04-06,2022.2603
hDenV1_Colombia_VAC-LSPVAC-2400146_2024_EPI_ISL_19216366_2023-12-29,2023.9918
hDenV1_Colombia_VAC-LSPVAC-2401935_2024_EPI_ISL_19216374_2024-01-27,2024.0712
hDenV1_Colombia_VAC-LSPVAC-2400262_2024_EPI_ISL_19216368_2024-01-02,2024.0027
