strain	date	region	country	division
hDenV2/Colombia/un-NAMRU-6-FCC00999/2021	2021-05-10	South America	Colombia	
hDenV2/Colombia/un-NAMRU-6-FCC00973/2021	2021-04-09	South America	Colombia	
hDenV2/Colombia/un-NAMRU-6-FCC00974/2021	2021-04-09	South America	Colombia	
hDenV2/Colombia/un-OUCRU-20129/2012	2012	South America	Colombia	
hDenV2/Colombia/un-OUCRU-201214/2013	2013	South America	Colombia	
hDenV2/Colombia/un-OUCRU-201233/2012	2012	South America	Colombia	
hDenV2/Colombia/SAN-UIS-21/2005	2005	South America	Colombia	Santander
DenV2/mosquito/Colombia/un-UWI-299688/1993	1993	South America	Colombia	
hDenV2/Colombia/SAN-UIS-0000036/2016	2016	South America	Colombia	Santander
hDenV2/Colombia/SAN-UIS-0000033/2016	2016	South America	Colombia	Santander
hDenV2/Colombia/SAN-UIS-0000032/2016	2016	South America	Colombia	Santander
hDenV2/Colombia/SAN-UIS-0000006/2016	2016	South America	Colombia	Santander
hDenV2/Colombia/un-BROAD-0000005/1986	1986	South America	Colombia	
hDenV2/Colombia/un-BROAD-0000006/2000	2000	South America	Colombia	
hDenV2/Colombia/ANT-BROAD-0000008/2004	2004	South America	Colombia	Antioquia
hDenV2/Colombia/ANT-BROAD-0000009/1944	1944	South America	Colombia	Antioquia
hDenV2/Colombia/GUV-BROAD-0000010/2005	2005	South America	Colombia	Guaviare
hDenV2/Colombia/GUV-BROAD-0000011/2005	2005	South America	Colombia	Guaviare
hDenV2/Colombia/GUV-BROAD-0000012/2005	2005	South America	Colombia	Guaviare
hDenV2/Colombia/GUV-BROAD-0000013/2005	2005	South America	Colombia	Guaviare
hDenV2/Colombia/GUV-BROAD-0000014/2005	2005	South America	Colombia	Guaviare
hDenV2/Colombia/NSA-BROAD-0000015/2005	2005	South America	Colombia	Norte de Santander
hDenV2/Colombia/NSA-BROAD-0000021/2005	2005	South America	Colombia	Norte de Santander
hDenV2/Colombia/NSA-BROAD-0000024/2005	2005	South America	Colombia	Norte de Santander
hDenV2/Colombia/SAN-BROAD-0000050/1998	1998	South America	Colombia	Santander
hDenV2/Colombia/SAN-BROAD-0000055/2007	2007	South America	Colombia	Santander
hDenV2/Colombia/SAN-BROAD-0000030/2004	2004	South America	Colombia	Santander
hDenV2/Colombia/SAN-BROAD-0000033/2007	2007	South America	Colombia	Santander
hDenV2/Colombia/SAN-BROAD-0000041/1999	1999	South America	Colombia	Santander
hDenV2/Colombia/un-OUCRU-0000012/2013	2013	South America	Colombia	
hDenV2/Colombia/un-OUCRU-0000015/2012	2012	South America	Colombia	
hDenV2/Colombia/un-OUCRU-0000016/2012	2012	South America	Colombia	
hDenV2/Colombia/un-OUCRU-0000044/2014	2014	South America	Colombia	
hDenV2/Colombia/un-OUCRU-0000047/2013	2013	South America	Colombia	
hDenV2/Colombia/un-OUCRU-0000042/2013	2013	South America	Colombia	
hDenV2/Colombia/un-OUCRU-0000029/2012	2012	South America	Colombia	
hDenV2/Colombia/un-OUCRU-0000031/2011	2011	South America	Colombia	
hDenV2/Colombia/un-OUCRU-0000085/2012	2012	South America	Colombia	
