strain	date	region	country	division	genotype	lineage
hDenV3/Colombia/un-OUCRU-30121/2012	2012	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-301222/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/SAN-BROAD-3012/2001	2001	South America	Colombia	Santander	III	3III_C.1
hDenV3/Colombia/SAN-UIS-0000038/2016	2016	South America	Colombia	Santander	III	3III_C.1
hDenV3/Colombia/SAN-UIS-0000037/2015	2015	South America	Colombia	Santander	III	3III_C.2
hDenV3/Colombia/SAN-UIS-0000053/2014	2014	South America	Colombia	Santander	III	3III_C.2
hDenV3/Colombia/SAN-UIS-0000044/2016	2016	South America	Colombia	Santander	III	3III_C.1
hDenV3/Colombia/SAN-UIS-0000045/2016	2016	South America	Colombia	Santander	III	3III_C.2
hDenV3/Colombia/un-UIS-0000001/2014	2014	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-UIS-0000002/2015	2015	South America	Colombia		III	3III_C.2
hDenV3/Colombia/SAN-UIS-0000010/2015	2015	South America	Colombia	Santander	III	3III_C.1
hDenV3/Colombia/SAN-UIS-0000049/2016	2016	South America	Colombia	Santander	III	3III_C.1
hDenV3/Colombia/NSA-BROAD-0000016/2005	2005	South America	Colombia	Norte de Santander	III	3III_C.1
hDenV3/Colombia/NSA-BROAD-0000017/2005	2005	South America	Colombia	Norte de Santander	III	3III_C.1
hDenV3/Colombia/NSA-BROAD-0000018/2006	2006	South America	Colombia	Norte de Santander	III	3III_C.1
hDenV3/Colombia/SAN-BROAD-0000049/2002	2002	South America	Colombia	Santander	III	3III_C.1
hDenV3/Colombia/SAN-BROAD-0000052/2001	2001	South America	Colombia	Santander	III	3III_C.1
hDenV3/Colombia/SAN-BROAD-0000054/2003	2003	South America	Colombia	Santander	III	3III_C.1
hDenV3/Colombia/SAN-BROAD-0000057/2003	2003	South America	Colombia	Santander	III	3III_C.1
hDenV3/Colombia/SAN-BROAD-0000059/2003	2003	South America	Colombia	Santander	III	3III_C.1
hDenV3/Colombia/SAN-BROAD-0000045/2004	2004	South America	Colombia	Santander	III	3III_C.1
hDenV3/Colombia/SAN-BROAD-0000043/2007	2007	South America	Colombia	Santander	III	3III_C.1
hDenV3/Colombia/NSA-BROAD-0000026/2005	2005	South America	Colombia	Norte de Santander	III	3III_C.1
hDenV3/Colombia/SAN-BROAD-0000035/2003	2003	South America	Colombia	Santander	III	3III_C.1
hDenV3/Colombia/SAN-BROAD-0000038/2007	2007	South America	Colombia	Santander	III	3III_C.1
hDenV3/Colombia/SAN-BROAD-0000040/2004	2004	South America	Colombia	Santander	III	3III_C.1
hDenV3/Colombia/SAN-BROAD-0000042/2003	2003	South America	Colombia	Santander	III	3III_C.1
hDenV3/Colombia/SAN-BROAD-0000034/2003	2003	South America	Colombia	Santander	III	3III_C.1
hDenV3/Colombia/un-OUCRU-0000013/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000009/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000007/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000004/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000002/2012	2012	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000001/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000017/2012	2012	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000036/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000037/2012	2012	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000038/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000039/2012	2012	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000035/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000041/2012	2012	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000034/2012	2012	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000032/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000018/2012	2012	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000019/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000020/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000021/2012	2012	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000022/2012	2012	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000033/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000024/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000026/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000027/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000028/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000030/2012	2012	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000025/2012	2012	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000089/2012	2012	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000099/2012	2012	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000100/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000101/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000102/2013	2013	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-OUCRU-0000103/2012	2012	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000105/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000106/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000108/2012	2012	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000110/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000111/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000112/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000084/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000083/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000054/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000055/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000056/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000057/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000059/2013	2013	South America	Colombia		III	3III_C.2
