strain	date	Country
2017.315	2017	China
2017.288	2017	Thailand
2016.874	2016	Taiwan
2016.79	2016	Taiwan
2016.669	2016	China
2016.041	2016	Philippines
2016.014	2016	China
2015.808	2015	China
2014.934	2014	BKK
2014.915	2014	BKK
2014.899	2014	BKK
2014.83	2014	BKK
2014.789	2014	BKK
2014.753	2014	BKK
2014.745	2014	BKK
2014.732	2014	BKK
2014.641	2014	BKK
2014.619	2014	BKK
2014.197	2014	BKK
2013.866	2013	BKK
2013.69	2013	BKK
2013.688	2013	BKK
2013.658	2013	BKK
2013.655	2013	BKK
2013.5	2013	BKK
2013.405	2013	BKK
2013.279	2013	BKK
2013.26	2013	BKK
2013.159	2013	BKK
2013.129	2013	BKK
2013.11	2013	BKK
2013.066	2013	BKK
2013.027	2013	BKK
2013.025	2013	BKK
2013.022	2013	BKK
2012.948	2012	BKK
2012.913	2012	BKK
2012.893	2012	BKK
2012.883	2012	BKK
2012.861	2012	BKK
2012.858	2012	BKK
2012.85	2012	BKK
2012.842	2012	BKK
2012.762	2012	BKK
2012.724	2012	BKK
2012.697	2012	BKK
2012.598	2012	BKK
2012.582	2012	BKK
2012.53	2012	BKK
2012.361	2012	H1
2012.362	2012	H1
2011.986	2011	KPP
2011.974	2011	BKK
2011.973	2011	BKK
2011.945	2011	KPP
2011.912	2011	BKK
2011.847	2011	BKK
2011.811	2011	BKK
2011.764	2011	BKK
2011.638	2011	KPP
2011.581	2011	BKK
2011.559	2011	KPP
2011.515	2011	BKK
2011.51	2011	BKK
2011.507	2011	KPP
2011.504	2011	KPP
2011.505	2011	BKK
2011.501	2011	KPP
2011.502	2011	KPP
2011.499	2011	KPP
2011.493	2011	KPP
2011.474	2011	KPP
2011.468	2011	KPP
2011.458	2011	BKK
2011.455	2011	KPP
2011.441	2011	BKK
2011.411	2011	BKK
2011.378	2011	BKK
2011.367	2011	KPP
2011.345	2011	BKK
2011.34	2011	BKK
2011.332	2011	KPP
2011.321	2011	BKK
2011.26	2011	BKK
2011.036	2011	BKK
2011.033	2011	BKK
2011.003	2011	BKK
2010.926	2010	BKK
2010.871	2010	BKK
2010.866	2010	BKK
2010.86	2010	BKK
2010.833	2010	BKK
2010.827	2010	BKK
2010.825	2010	BKK
2010.792	2010	BKK
2010.764	2010	BKK
2010.751	2010	BKK
2010.704	2010	KPP
2010.693	2010	BKK
2010.655	2010	BKK
2010.647	2010	BKK
2010.619	2010	KPP
2010.608	2010	BKK
2010.6	2010	KPP
2010.57	2010	BKK
2010.553	2010	KPP
2010.545	2010	KPP
2010.512	2010	Thailand
2010.455	2010	Thailand
2010.362	2010	KPP
2009.827	2009	KPP
2009.625	2009	KPP
2009.608	2009	KPP
2009.556	2009	KPP
2009.542	2009	KPP
2009.532	2009	KPP
2009.501	2009	KPP
2009.5	2009	P0
2009.6	2009	P0
2009.5_2	2009	L0
2009.5_3	2009	H0
2009.5_4	2009	Cambodia
2009.414	2009	KPP
2009.411	2009	KPP
2009.348	2009	KPP
2009.203	2009	KPP
2009.118	2009	KPP
2008.943	2008	H0
2008.757	2008	L0
2008.738	2008	H0
2008.593	2008	KPP
2008.585	2008	KPP
2008.566	2008	L0
2008.516	2008	L0
2008.5	2008	Vietnam
2008.5_2	2008	Vietnam
2008.5_3	2008	Vietnam
2008.5_4	2008	Singapore
2008.5_5	2008	Singapore
2008.5_6	2008	Singapore
2008.5_7	2008	Cambodia
2008.5_8	2008	Cambodia
