strain	country	genotype	accession	extra
1974.5	BKK	2V	D74x074	S63
1974.5_2	Thailand	2V	GU289914	.
1974.5_3	Thailand	2V	MK268692	.
1978.5	BKK	2V	D78x048	S76
1979.5	BKK	2V	D79x069	S87
1980.29	BKK	2V	D80x129	S26
1980.538	BKK	2V	D80x499	S96
1981.5	BKK	2V	D81x060	S72
1982.5	BKK	2V	D82x006	S1
1982.5_2	BKK	2V	D82x010	S36
1982.5_3	BKK	2V	D82x099	S48
1982.79	BKK	2V	D82x137	S49
1982.956	BKK	2V	D82x195	S25
1983.5	BKK	2IIIr	D83x143	S81
1983.5_2	BKK	2IIIr	D83x241	S112
1983.5_3	BKK	2V	D83x126	S45
1983.622	BKK	2V	D83x168	S121
1984.5	BKK	2IIIr	D84x047	S50
1984.5_2	BKK	2V	D84x021	S38
1984.5_3	BKK	2V	D84x052	S86
1984.5_4	BKK	2V	D84x087	S15
1984.5_5	BKK	2V	D84x088	S27
1984.623	BKK	2V	D84x333	S53
1985.288	BKK	2V	D85x131	S159
1985.288_2	BKK	2V	D85x156	S147
1985.37	BKK	2V	D85x188	S135
1985.37_2	BKK	2V	D85x193	S123
1985.5	BKK	2IIIr	D85x267	S137
1985.5_2	BKK	2V	D85x030	S89
1985.5_3	BKK	2V	D85x037	S52
1985.5_4	BKK	2V	D85x052	S40
1985.5_5	BKK	2V	D85x053	S6
1985.5_6	BKK	2V	D85x076	S78
1985.5_7	BKK	2V	D85x282	S171
1985.5_8	BKK	2V	D85x546	S32
1985.537	BKK	2V	D85x290	S111
1985.537_2	BKK	2V	D85x303	S183
1986.5	BKK	2V	D86x004	S101
1986.5_2	BKK	2V	D86x043	S185
1986.537	BKK	2V	D86x158	S173
1986.622	BKK	2V	D86x191	S125
1987.126	BKK	2V	D87x1312	S187
1987.288	BKK	2V	D87x399	S142
1987.5	BKK	2IIIr	D87x1421	S175
1987.5_2	BKK	2IIIr	D87x1480	S116
1987.5_3	BKK	2IIIr	D87x664	S130
1987.5_4	BKK	2V	D87x077	S179
1987.5_5	BKK	2V	D87x093	S148
1987.5_6	BKK	2V	D87x1036	S133
1987.5_7	BKK	2V	D87x1051	S157
1987.5_8	BKK	2V	D87x1329	S152
1987.5_9	BKK	2V	D87x1372	S164
1988.5	BKK	2IIIr	D88x006	S138
1988.5_2	BKK	2V	D88x007	S126
1988.5_3	NA	2IIIr	5470/88	.
1988.5_4	Vietnam	2III	JN819418	.
1988.708	BKK	2V	D88x318	S177
1988.708_2	BKK	2V	D88x319	S105
1988.708_3	BKK	2V	D88x347	S182
1988.708_4	BKK	2V	D88x349	S189
1988.708_5	BKK	2V	D88x352	S106
1988.708_6	BKK	2V	D88x353	S165
1988.79	BKK	2V	D88x396	S166
1988.79_2	BKK	2V	D88x400	S98
1994.036	BKK	2V	00126/94	.
1994.159	BKK	2V	00327/94	.
1994.334	BKK	2V	00489/94	.
1994.359	BKK	2V	00523/94	.
1994.386	BKK	2V	00662/94	.
1994.433	BKK	2V	00612/94	.
1994.449	BKK	2V	00637/94	.
1994.5	NA	2V	30029/94	.
1994.5_2	NA	2V	30035/94	.
1994.5_3	NA	2V	30038/94	.
1994.5_4	NA	2V	30062/94	.
1994.5_5	NA	2V	30073/94	.
1994.5_6	NA	2V	30108/94	.
1994.5_7	NA	2V	30137/94	.
1994.5_8	NA	2V	30216/94	.
1994.5_9	NA	2V	30244/94	.
1994.5_10	NA	2V	30268/94	.
1994.5_11	NA	2V	30279/94	.
1994.5_12	NA	2V	30432/94	.
1994.5_13	NA	2V	30478/94	.
1994.5_14	NA	2V	30558/94	.
1994.5_15	Thailand	2V	EU687246	.
1994.5_16	Thailand	2V	EU726767	.
1994.5_17	Thailand	2V	GQ868542	.
1994.616	BKK	2V	00849/94	.
1994.658	BKK	2V	00921/94	.
1994.663	BKK	2V	00937/94	.
1994.674	BKK	2V	00997/94	.
1994.69	BKK	2V	01034/94	.
1994.858	BKK	2V	01430/94	.
1994.871	BKK	2V	01414/94	.
1994.89	BKK	2V	01429/94	.
1994.907	BKK	2V	01488/94	.
1994.91	BKK	2V	01458/94	.
1994.948	BKK	2V	01497/94	.
1994.97	BKK	2V	01536/94	.
1994.989	BKK	2V	00033/95	.
1995.008	KPP	2V	30000/95	.
1995.049	BKK	2V	00233/95	.
1995.085	BKK	2V	00234/95	.
1995.107	BKK	2V	00298/95	.
1995.151	BKK	2V	00309/95	.
1995.181	BKK	2V	00436/95	.
1995.321	KPP	2V	30054/95	.
1995.326	BKK	2V	00589/95	.
1995.405	KPP	2V	30066/95	.
1995.43	BKK	2V	00656/95	.
1995.449	BKK	2V	00672/95	.
1995.449_2	BKK	2V	00760/95	.
1995.482	BKK	2V	00759/95	.
1995.485	BKK	2V	00856/95	.
1995.49	BKK	2V	00775/95	.
1995.493	BKK	2V	00773/95	.
1995.493_2	BKK	2V	00777/95	.
1995.5	Thailand	2V	GQ868543	.
1995.5_2	Vietnam	2IIIr	JX649147	.
1995.518	BKK	2V	00991/95	.
1995.548	BKK	2V	00895/95	.
1995.564	BKK	2V	00925/95	.
1995.567	KPP	2V	30149/95	.
1995.578	KPP	2V	30154/95	.
1995.581	KPP	2V	30159/95	.
1995.584	BKK	2V	00976/95	.
1995.597	BKK	2V	01001/95	.
1995.605	BKK	2V	01019/95	.
1995.605_2	KPP	2V	30185/95	.
1995.616	BKK	2V	01261/95	.
1995.622	BKK	2V	01281/95	.
1995.625	BKK	2V	01082/95	.
1995.627	KPP	2V	30197/95	.
1995.63	BKK	2V	01088/95	.
1995.63_2	KPP	2V	30200/95	.
1995.649	BKK	2V	01241/95	.
1995.663	KPP	2V	30267/95	.
1995.668	KPP	2V	30272/95	.
1995.707	Taiwan	2IIr	KY670633	.
1995.795	BKK	2V	01619/95	.
1995.8	BKK	2V	01636/95	.
1995.805	BKK	2V	01656/95	.
1995.879	BKK	2V	01800/95	.
1995.918	KPP	2V	30465/95	.
1996.033	BKK	2V	00020/96	.
1996.038	BKK	2V	00024/96	.
1996.057	BKK	2V	00043/96	.
1996.137	KPP	2V	30013/96	.
1996.328	KPP	2V	30046/96	.
1996.391	BKK	2V	00742/96	.
1996.434	BKK	2V	00788/96	.
1996.434_2	KPP	2V	30099/96	.
1996.495	BKK	2V	00945/96	.
1996.5	Philippines	2IV	KF744407	.
1996.5_2	Thailand	2V	FJ906957	.
1996.5_3	Thailand	2V	FJ906958	.
1996.5_4	Thailand	2V	GQ868544	.
1996.5_5	Thailand	2V	GQ868545	.
1996.511	BKK	2V	00974/96	.
1996.516	BKK	2V	00996/96	.
1996.555	KPP	2V	30202/96	.
1996.593	BKK	2V	01163/96	.
1996.598	BKK	2V	01175/96	.
1996.601	BKK	2V	01181/96	.
1996.601_2	BKK	2V	01182/96	.
1996.648	BKK	2V	01309/96	.
1996.653	KPP	2V	30276/96	.
1996.656	BKK	2V	01315/96	.
1996.675	BKK	2V	01431/96	.
1996.71	KPP	2V	30312/96	.
1996.76	KPP	2V	30349/96	.
1996.798	BKK	2V	01816/96	.
1996.811	BKK	2V	01865/96	.
1996.842	BKK	2V	01940/96	.
1996.888	BKK	2V	02118/96	.
1996.888_2	BKK	2V	02119/96	.
1996.891	BKK	2V	02126/96	.
1996.893	BKK	2V	02136/96	.
1996.913	BKK	2V	02199/96	.
1996.926	BKK	2V	02234/96	.
