strain	date	country	genotype	accession	extra
DENV3/THAILAND/2011/00007/11	2011-01-01	THAILAND	DENV3	00007	11
DENV3/THAILAND/2011/00106/11	2011-01-01	THAILAND	DENV3	00106	11
DENV3/THAILAND/2012/00639/12	2012-01-01	THAILAND	DENV3	00639	12
DENV3/THAILAND/2012/00608/12	2012-01-01	THAILAND	DENV3	00608	12
DENV3/THAILAND/2013/00695/13	2013-01-01	THAILAND	DENV3	00695	13
DENV3/THAILAND/2011/00544/11	2011-01-01	THAILAND	DENV3	00544	11
DENV3/THAILAND/2010/01385/10	2010-01-01	THAILAND	DENV3	01385	10
DENV3/THAILAND/2010/01434/10	2010-01-01	THAILAND	DENV3	01434	10
DENV3/THAILAND/2013/00709/13	2013-01-01	THAILAND	DENV3	00709	13
DENV3/THAILAND/2013/01401/13	2013-01-01	THAILAND	DENV3	01401	13
DENV3/THAILAND/2014/00146/14	2014-01-01	THAILAND	DENV3	00146	14
DENV3/THAILAND/2012/00999/12	2012-01-01	THAILAND	DENV3	00999	12
DENV3/THAILAND/2012/01094/12	2012-01-01	THAILAND	DENV3	01094	12
DENV3/THAILAND/2013/00807/13	2013-01-01	THAILAND	DENV3	00807	13
DENV3/THAILAND/2014/00432/14	2014-01-01	THAILAND	DENV3	00432	14
DENV3/THAILAND/2014/00759/14	2014-01-01	THAILAND	DENV3	00759	14
DENV3/THAILAND/2013/00731/13	2013-01-01	THAILAND	DENV3	00731	13
DENV3/THAILAND/2012/01106/12	2012-01-01	THAILAND	DENV3	01106	12
DENV3/THAILAND/2013/00910/13	2013-01-01	THAILAND	DENV3	00910	13
DENV3/THAILAND/2014/00688/14	2014-01-01	THAILAND	DENV3	00688	14
DENV3/THAILAND/2013/00957/13	2013-01-01	THAILAND	DENV3	00957	13
DENV3/THAILAND/2014/00560/14	2014-01-01	THAILAND	DENV3	00560	14
DENV3/THAILAND/2014/00542/14	2014-01-01	THAILAND	DENV3	00542	14
DENV3/THAILAND/2014/00710/14	2014-01-01	THAILAND	DENV3	00710	14
DENV3/THAILAND/2011/01035/11	2011-01-01	THAILAND	DENV3	01035	11
DENV3/THAILAND/2014/00507/14	2014-01-01	THAILAND	DENV3	00507	14
DENV3/THAILAND/2014/00521/14	2014-01-01	THAILAND	DENV3	00521	14
DENV3/THAILAND/2013/00715/13	2013-01-01	THAILAND	DENV3	00715	13
DENV3/THAILAND/2013/00693/13	2013-01-01	THAILAND	DENV3	00693	13
DENV3/THAILAND/2014/00739/14	2014-01-01	THAILAND	DENV3	00739	14
DENV3/THAILAND/2014/00749/14	2014-01-01	THAILAND	DENV3	00749	14
DENV3/THAILAND/2002/00059/02	2002-01-01	THAILAND	DENV3	00059	02
DENV3/THAILAND/2006/00588/06	2006-01-01	THAILAND	DENV3	00588	06
DENV3/THAILAND/2006/02678/06	2006-01-01	THAILAND	DENV3	02678	06
DENV3/THAILAND/2014/00654/14	2014-01-01	THAILAND	DENV3	00654	14
DENV3/THAILAND/2014/00705/14	2014-01-01	THAILAND	DENV3	00705	14
DENV3/THAILAND/2012/00833/12	2012-01-01	THAILAND	DENV3	00833	12
DENV3/THAILAND/2012/00817/12	2012-01-01	THAILAND	DENV3	00817	12
DENV3/NICARAGUA/2009/BID-V4753	2009-01-01	NICARAGUA	DENV3	BID-V4753	.
DENV3/PUERTORICO/2006/429965	2006-01-01	PUERTORICO	DENV3	429965	.
DENV3/THAILAND/2001/00005/01	2001-01-01	THAILAND	DENV3	00005	01
