DEN1_BURMA_2005_61117 DEN1_CAMBODIA_2003_GENBANKGQ868619 DEN1_PERU_2000_IQT_6152 DEN1_PUERTORICO_2006_BID_V852 DEN1_VIETNAM_2008_BID_V1937 DEN2_CAMBODIA_2009_D2T0601085_KH09_KSP DEN2_MALAYSIA_2008_DKD811 DEN2_NICARAGUA_2006_BID_V571 DEN2_TONGA_1974_NIHVACCINE DEN2_VIETNAM_2006_BID_V735 DEN3_BURMA_2008_80931 DEN3_CAMBODIA_2011_V0907330 DEN3_FIJI_1992__ DEN3_PUERTORICO_2006_429965 DEN3_VIETNAM_2007_BID_V1817 DEN4_CAMBODIA_2010_U0811386 DEN4_CAMBODIA_2011_V0624301 DEN4_INDONESIA_1973_M30153_P5 DEN4_NICARAGUA_1999_703 DEN4_PUERTORICO_1999_BID_V2446 DEN1_NAURU_1974_NIHVACCINE DEN2_VIETNAM_2003_AC21 DEN2_VIETNAM_2003_DF_670 DEN2_NICARAGUA_2005_BID_V533 DEN2_PERU_1996_IQT2913 DEN3_VIETNAM_2006_BID_V1329 DEN1_BOLIVIA_2010_FSB_3363 DEN1_VENEZUELA_2000_OBT_1298 DEN2_VIETNAM_2003_AC21_2 DEN2_SENEGAL_2003_SENDAK_HD_0674 DEN2_VIETNAM_2006_32_135_2 DEN3_NICARAGUA_2009_608 DEN3_PUERTORICO_1963_PRS_228762 DEN4_MALAYSIA_1973_P73_1120_SYLVATIC DEN4_BURMA_2008_81087 DEN4_BRAZIL_2012_BR_12
DENV1/BOLIVIA/2010/FSB-3363 129 32 545 118 103 10 <10 <10 <10 16 19 17 <10 16 15 23 20 <10 <10 <10 * * * * * * * * * * * * * * * *
DENV1/CAMBODIA/2003/FJ639680 * * * 383 362 * <22 <22 <22 24 * * <22 * <22 * * <22 * <22 24 22 <22 <22 <22 <22 * * * * * * * * * *
DENV1/CAMBODIA/2003/GQ868619 259 68 1006 111 231 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 37 <22 <22 <22 <22 <22 <22 <22 <22 <22
DENV1/CAMBODIA/2006/FJ639687 615 143 1258 197 691 <20 <20 <20 <20 <20 <20 <20 25 <20 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/CAMBODIA/2007/FJ639693 415 180 1127 210 338 <20 <20 <20 <20 35 <20 <20 28 25 21 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/CAMBODIA/2007/FJ639696 214 166 3433 288 217 <20 <20 <20 <20 <20 <20 43 <20 <20 <20 <20 27 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/MYANMAR/2005/61117 817 129 2601 612 847 <22 <22 <22 <22 <22 <22 22 <22 <22 22 <22 <22 <22 <22 <22 <22 <22 22 <22 <22 <22 139 <22 <22 <22 <22 <22 <22 <22 <22 <22
DENV1/NAURU/1974/RDENV1-WP-1A 198 64 1070 134 117 <10 <10 <10 <10 <10 <10 16 <10 10 <10 <10 14 <10 <10 <10 * * * * * * * * * * * * * * * *
DENV1/PERU/2000/IQT-6152 1546 396 4331 1086 669 193 62 233 231 645 111 284 234 260 244 228 97 40 59 35 * * * * * * * * * * * * * * * *
DENV1/PUERTORICO/2006/BID-V852 213 * * 261 255 <22 <22 <22 <22 <22 <22 26 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 * * <22 <22 <22 <22 <22 <22 <22 <22
DENV1/THAILAND/1964/16007 921 564 4346 778 749 14 25 33 57 60 53 36 54 21 44 19 15 11 <10 13 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1980/00633/80 442 144 924 142 505 <20 <20 <20 <20 27 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1980/01738/80 207 92 967 208 363 <20 <20 <20 <20 <20 <20 26 <20 <20 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1980/03228/80 307 48 1861 474 213 45 18 47 35 32 34 69 45 33 54 29 20 39 <8 <8 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1982/00437/82 1159 238 2753 562 1356 25 34 33 <20 60 36 28 43 <20 41 56 28 <20 22 47 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1983/00493/83 392 91 1484 132 291 26 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
