strain	date	region	country	division
hDenV1/Colombia/un-OUCRU-101/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-102/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-103/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-104/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-1/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-10122/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-10123/2012	2012	South America	Colombia	
hDenV1/Colombia/un-OUCRU-10124/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-10125/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-10126/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-10128/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-101210/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-101212/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-101216/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-101218/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-101219/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-101220/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-101221/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-101223/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-101224/2011	2011	South America	Colombia	
hDenV1/Colombia/un-OUCRU-101225/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-101226/2012	2012	South America	Colombia	
hDenV1/Colombia/un-OUCRU-101227/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-101228/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-101229/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-101230/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-101253/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-101232/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-101234/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-101245/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-101235/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-101236/2013	2013	South America	Colombia	
hDenV1/Colombia/SAN-UIS-0000041/2010	2010	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000040/2009	2009	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000034/2014	2014	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000043/2009	2009	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000054/2016	2016	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000055/2015	2015	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000052/2010	2010	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000051/2016	2016	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000046/2009	2009	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000047/2016	2016	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000048/2014	2014	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000056/2013	2013	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000031/2016	2016	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000028/2013	2013	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000029/2010	2010	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000059/2016	2016	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000057/2014	2014	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000005/2015	2015	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000007/2015	2015	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000008/2014	2014	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000009/2010	2010	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000030/2010	2010	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000012/2010	2010	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000013/2010	2010	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000014/2016	2016	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000015/2016	2016	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000016/2015	2015	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000017/2015	2015	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000018/2016	2016	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000019/2016	2016	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000020/2010	2010	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000011/2009	2009	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-0000050/2009	2009	South America	Colombia	Santander
hDenV1/Colombia/un-BROAD-0000007/2005	2005	South America	Colombia	
hDenV1/Colombia/NSA-BROAD-0000019/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/NSA-BROAD-0000020/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/SAN-BROAD-0000053/2007	2007	South America	Colombia	Santander
hDenV1/Colombia/SAN-BROAD-0000058/2001	2001	South America	Colombia	Santander
hDenV1/Colombia/SAN-BROAD-0000046/2007	2007	South America	Colombia	Santander
hDenV1/Colombia/NSA-BROAD-0000025/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/SAN-BROAD-0000029/2007	2007	South America	Colombia	Santander
hDenV1/Colombia/SAN-BROAD-0000032/2008	2008	South America	Colombia	Santander
hDenV1/Colombia/NSA-BROAD-0000023/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/SAN-BROAD-0000036/2007	2007	South America	Colombia	Santander
hDenV1/Colombia/SAN-BROAD-0000037/2005	2005	South America	Colombia	Santander
hDenV1/Colombia/un-OUCRU-0000011/2012	2012	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000010/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000008/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000006/2012	2012	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000005/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000003/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000014/2012	2012	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000040/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000043/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000045/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000046/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000048/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000023/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000049/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000087/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000088/2012	2012	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000090/2012	2012	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000092/2012	2012	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000093/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000095/2012	2012	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000096/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000081/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000052/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000053/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000060/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000061/2012	2012	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000063/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000068/2013	2013	South America	Colombia	
