serotype	seq_col	closest_exp	min_distance
1	DenV1/mosquito/Colombia/MAG-CIST-0134/2018	1980.372	0.29
1	DenV1/mosquito/Colombia/MAG-CIST-0151/2018	1980.372	0.29
1	DenV1/un/Colombia/un-UniNorte-1/2001	1982.455	1.9
1	hDenV1/Colombia/ANT-INS-485061/2016	1980.372	0.29
1	hDenV1/Colombia/ANT-UDEA-COA0053/2021	1980.372	0.29
1	hDenV1/Colombia/ANT-UDEA-COA0214/2022	1980.372	0.29
1	hDenV1/Colombia/ANT-UDEA-COA0234/2022	1980.372	0.29
1	hDenV1/Colombia/ANT-UDEA-COT0011/2023	1980.372	0.29
1	hDenV1/Colombia/ANT-UDEA-COT0012/2023	1980.372	0.29
1	hDenV1/Colombia/ANT-UDEA-COT0017/2023	1980.372	0.29
1	hDenV1/Colombia/ANT-UDEA-COT0026/2023	1980.372	0.29
1	hDenV1/Colombia/ANT-UDEA-COT0028/2023	1980.372	0.29
1	hDenV1/Colombia/ANT-UDEA-COT0221/2023	1980.372	0.29
1	hDenV1/Colombia/ANT-UDS-0746586/2013	1980.372	0.29
1	hDenV1/Colombia/CAU-INS-483718/2016	1982.455	0.87
1	hDenV1/Colombia/CUN-INS-450339/2015	1980.372	0.29
1	hDenV1/Colombia/FUADLA-AFI025_676/2021	1980.372	0.29
1	hDenV1/Colombia/FUADLA-AFI059_677/2021	1980.372	0.29
1	hDenV1/Colombia/HUI-UEB-033/2011	1980.372	0.29
1	hDenV1/Colombia/MET-INS-424735/2013	1980.372	0.29
1	hDenV1/Colombia/NSA-BROAD-0000019/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-BROAD-0000020/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-BROAD-0000023/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-BROAD-0000025/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-UIDS-555/2001	1980.372	0.29
1	hDenV1/Colombia/NSA-UIDS-556/2015	1980.372	0.29
1	hDenV1/Colombia/NSA-UIDS-557/2009	1980.372	0.85
1	hDenV1/Colombia/NSA-UIDS-558/2016	1980.372	0.29
1	hDenV1/Colombia/NSA-UIDS-559/2015	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00005/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00006/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00007/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00008/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00009/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00010/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00011/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00012/2005	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00013/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00014/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00015/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00020/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00034/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00037/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00038/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00039/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00040/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00041/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00042/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00043/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00044/2006	1980.372	0.29
1	hDenV1/Colombia/NSA-UIS-00045/2006	2001.126	1.16
1	hDenV1/Colombia/NSA-UIS-00046/2006	2001.126	1.16
1	hDenV1/Colombia/RIS-FUAA-AFI031/2021	1980.372	0.29
1	hDenV1/Colombia/RIS-FUAA-AFI082/2021	1980.372	0.29
1	hDenV1/Colombia/RIS-FUAA-AFI101/2021	1980.372	0.29
1	hDenV1/Colombia/RIS-FUAA-AFI224/2022	1980.372	0.29
1	hDenV1/Colombia/RIS-FUAA-DFC059/2021	1980.372	0.29
1	hDenV1/Colombia/RIS-INS-476947/2016	1980.372	0.29
1	hDenV1/Colombia/SAN-BROAD-0000029/2007	1980.372	0.29
1	hDenV1/Colombia/SAN-BROAD-0000032/2008	1980.372	0.29
1	hDenV1/Colombia/SAN-BROAD-0000036/2007	1980.372	0.29
1	hDenV1/Colombia/SAN-BROAD-0000037/2005	1980.372	0.29
1	hDenV1/Colombia/SAN-BROAD-0000046/2007	1980.372	0.29
1	hDenV1/Colombia/SAN-BROAD-0000053/2007	1980.372	0.29
1	hDenV1/Colombia/SAN-BROAD-0000058/2001	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000005/2015	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000007/2015	1980.372	0.93
1	hDenV1/Colombia/SAN-UIS-0000008/2014	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000009/2010	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000011/2009	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000012/2010	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000013/2010	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000014/2016	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000015/2016	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000016/2015	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000017/2015	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000018/2016	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000019/2016	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000020/2010	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000028/2013	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000029/2010	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000030/2010	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000031/2016	1980.372	0.29
